School,Name,Review,Quality,Difficulty,gender,male_words,female_words,number of words,female words normalized
University of Toronto at Mississauga,Lee Bailey,"If you're in first year, you might not find him to be a very pleasant guy, but if you are able to do his practice worksheets without help, you will do fine for his tests as they are basically just past tests. He's a nicer marker than some people give him credit for because he gives a handful of bonus marks; however, his course is quite difficult.",3.0,4.0,0,4,3,67,0.04477611940298507
University of Toronto at Mississauga,Lee Bailey,"Horrible prof. I went to him for help with something I was struggling with and he refused to help, telling me that I had to ""use my notes to figure it out"". He makes you feel bad for not understanding, even though he's the reason ECO is so hard for students!",1.0,5.0,0,4,2,51,0.0392156862745098
University of Toronto at Mississauga,Lee Bailey,"Dont bother buying the textbook completely useless, does not provide any feedback on test or show solutions to similar questions. The TA's are the only thing that will keep you from failing. This year alone kids enrolled in econ went from 1500-> 500 by exams. Not worth wasting a year take it in the summer.",1.0,5.0,0,3,0,55,0.0
University of Toronto at Scarborough,Steve Joordens,Attending is not mandatory because he didn't teach much through the lectures but it was entertaining being there. Just memorize the textbook,5.0,3.0,0,2,0,22,0.0
University of Toronto at Scarborough,Steve Joordens,"Prof. Joordens is a solid professor. Sure, his lectures material isn't really tested on the final, but I still enjoyed watching them because he was very interesting and engaging. To do well, the key is to read the textbook and take good notes. A 50% final may sound scary, but it's super doable if you just study a week or two before.",4.0,3.0,0,0,1,62,0.016129032258064516
University of Toronto at Scarborough,Steve Joordens,"He is a good lecturer, but his lectures are P O I N T L E S S. There was 1 question from the lecture out of the 100 m/c exam, so honestly don't bother going to lecture unless you're interested in stories and rambling. MAKE SURE to read the textbook and MAKE NOTES cus the final exam is all based on that.",2.0,3.0,0,0,0,63,0.0
University of Toronto at Scarborough,Steve Joordens,"I liked him. He's nice and funny. He has a really chill vibe BUT don't let that fool you. A 50% final is NOT chill. Printing out and memorizing 83 pages of notes 8 hours before the exam is NOT chill. So even though it may seem like the class is all fun and games take it seriously, write down deadlines and meet them. You'll do gr8",4.0,3.0,0,3,2,67,0.029850746268656716
University of Toronto at Scarborough,Steve Joordens,"He's pretty funny and gives really engaging lectures. However, he sometimes runs over his time and has to post a YouTube video to explain the rest of the lecture. Also, he promotes his band A LOT. He can be kind of annoying after a while. Also, the class is available to watch online.",3.0,3.0,0,1,3,53,0.05660377358490566
University of Toronto at Scarborough,Steve Joordens,"Professor Joordens is a great lecturer. He makes classes really fun and interesting. Like its a 9 AM class and I never feel like I want to sleep during the lectures. There will be a lot of assignments though so get ready for that. Also, if you like Biology, you'll love this class.",5.0,4.0,0,2,0,53,0.0
University of Toronto at Scarborough,Steve Joordens,"Excellent coursera course but you have to do a ""real world peer graded assignment"" which may take several days or a week to wait for others to give feedback. I had to make a post in teh optional discussion forums for people to ""review"" my ""real world peer graded assignment""",5.0,1.0,0,1,0,50,0.0
University of Toronto at Scarborough,Steve Joordens,"The lectures don't cover anything in the textbook which is way more difficult to understand. The tests don't cover anything from the lectures. Joke of a class. You're expected to do all these assignments worth only 2-5% that take forever, and then the final is a whopping 50%. To think a psychology prof doesn't know how students learn.",1.0,4.0,0,1,3,58,0.05172413793103448
University of Toronto at Scarborough,Steve Joordens,"Great prof, interesting content, and the exams are quite easy as long as you study well.",4.0,3.0,0,3,3,16,0.1875
University of Toronto at Scarborough,Steve Joordens,He was definitely entertaining in lecture but didn't actually get through a lot of content and it took him forever to get started. It was also unprofessional for him to accidentally display an inappropriate video in front of the entire class  he is a professor and should be paying attention to that!,2.0,4.0,0,1,0,52,0.0
University of Toronto at Scarborough,Steve Joordens,"Great guy but his lectures were actually a joke. There was absolutely no content. On the 100 question exam, only 2 questions were from lecture. Don't expect to get through this course without having a thorough knowledge of the textbook. The only positive aspect of this course was that the grading was fairly easy.",1.0,2.0,0,1,1,54,0.018518518518518517
University of Toronto at Scarborough,Steve Joordens,not an effective lecturer.,2.0,3.0,0,2,0,4,0.0
University of Toronto at Scarborough,Steve Joordens,"Very passionate about his studies and the learning. Do not take the course cause its ""bird course"" take it with passion. Got to pass the exam to pass the course, no midterms. Full on textbook materials, even know it seems like its based on lectures.",4.0,3.0,0,1,0,45,0.0
University of Toronto at Scarborough,Steve Joordens,"Steve Joordens was a great prof. He made the lectures interesting and easy to follow. I will say though, that in order to do well in this course, you definitely have to read the textbook and take notes on the highlighted terms for the assigned chapters.",5.0,3.0,0,2,2,46,0.043478260869565216
University of Toronto at Scarborough,Steve Joordens,The worst psychology professor ever at UTSC!!!,1.0,5.0,0,1,1,7,0.14285714285714285
University of Toronto at Scarborough,Steve Joordens,"He is super good at teaching, makes me love psychology and changes me a lot of point of view. But what sucks is that he doesn't provide us testbank to study while many students somehow get access to it and easily ace the course.",4.0,4.0,0,0,0,44,0.0
University of Toronto at Scarborough,Steve Joordens,Not a good profe,1.0,5.0,0,1,0,4,0.0
University of Toronto at Scarborough,Steve Joordens,really a nice guide for you to start learning psy,5.0,2.0,0,0,1,10,0.1
University of Toronto at Scarborough,Steve Joordens,"Prof joordens is inspirational and charismatic. However, the problem lies within the way psya01 and psya02 are graded. The mtuners and exam are heavily based on textbook material, and lectures were somewhat unhelpful. One 50% final is a nightmare.",3.0,4.0,0,0,0,39,0.0
University of Toronto at Scarborough,Steve Joordens,the coolest prof,5.0,3.0,0,0,0,3,0.0
University of Toronto - St. George Campus,Robert Brym,Do not take his class unless you're okay with him misinterpreting every single religious book out there with as little context possible. He says his opinions as if they are facts and it's annoying.,2.0,4.0,0,2,3,34,0.08823529411764706
University of Toronto - St. George Campus,Robert Brym,Had him my freshman year. Interesting class. Some of the lectures wound up to be total snoozefests (not to take anything away from the man's teaching ability). However I love the fact that he incorporated individual wireless remotes for all students when conducting the occasional class survey.,3.0,3.0,0,0,1,47,0.02127659574468085
University of Toronto - St. George Campus,Robert Brym,boring,1.5,3.0,0,0,0,1,0.0
University of Toronto - St. George Campus,Robert Brym,"His lectures are well-prepared and though the subject matter is a bit dull, he usually offers some really interesting insights on it that make you think a little harder than Caron's lectures do. I actually really enjoyed reading his mini-textbook , which you definitely need to read thoroughly for his questions on the tests.",3.5,4.0,0,1,2,54,0.037037037037037035
University of Toronto - St. George Campus,Robert Brym,He makes a ridiculous sum of money for shelling his own books and keeps making new editions to get more money. You are cattle to Brym.,2.0,3.0,0,0,3,26,0.11538461538461539
University of Toronto - St. George Campus,Robert Brym,I love this Professor's class! He is the best ever. Really easy and he explains everything until you understand. He understands when you have emergencies and he gives extra credit. His class will be the only class you will really learn while having an easy A. I Strongly recommend him for everyone!!!!,5.0,1.0,0,2,2,52,0.038461538461538464
University of Toronto - St. George Campus,Robert Brym,"His questions on tests are harder than caron's.  He's pretty interesting though, and I like his statistics and real life examples; in comparison with caron, who is much more definitionalby the book.  I think the two complement each other well.  Caron makes things cleareasier as a course coordinator; Brym's lectures are very goodinteresting.",3.5,3.0,0,0,5,53,0.09433962264150944
University of Toronto - St. George Campus,Robert Brym,Brym is an awesome speaker. His lectures are very in depth and his arguments are always strong. His lectures are very emotional (which made me feel angry and unjustified about social issues). He uses the most recent eventsnews to explain sociology concepts. Brym does not  read off the slides. He teaches students  to interpret data and graphs.,4.0,2.0,0,5,2,57,0.03508771929824561
University of Toronto - St. George Campus,Robert Brym,"He tends to go very in depth on every topic and sometimes loses the interest of people in lectures. However, I found all of his lectures interesting, and very easy to understand. The math components are simple multiplication or division. Overall I do not understand the negativity most students have towards him.",4.0,2.0,0,3,1,52,0.019230769230769232
University of Toronto - St. George Campus,Robert Brym,"Brym covers the research aspects of sociology, mainly math, and as a social science student it isn't exactly my strong suit, and its confusing to follow. Tells funny jokes occasionally. But make sure you really pay attention to his information, because reading the textbook for his sections does not help, and his section of the test is rough.",2.5,4.0,0,4,2,58,0.034482758620689655
University of Toronto - St. George Campus,Robert Brym,"Overall just kind of... boring. Most lectures are summarizing the readings (from his own books that are expensive) and brings up quantitative stuff constantly. If you go to a lecture he teaches, everyone around you will be playing solitaire or on Facebook, you can stay home if he's teaching. Also you only really need the Commit Sociology books.",2.0,3.0,0,1,0,58,0.0
University of Toronto - St. George Campus,Robert Brym,Went off on his own tangents and would always use charts and graphs in class. It was kind of hard to follow along.,2.0,4.0,0,1,1,23,0.043478260869565216
University of Toronto - St. George Campus,Robert Brym,always brings graphs and charts in every possible topic! this isn't a math course!!!,2.0,4.0,0,0,0,14,0.0
University of Toronto - St. George Campus,Robert Brym,"Textbooks are very difficult to understand. Uses his own textbook of course and replaces them very frequently. Perhaps, consideration to students' finance as opposed to his own would make him more popular among students. Tests are VERY difficult. More problematic, don't think he's the one that actually write them.",1.0,5.0,0,1,3,49,0.061224489795918366
University of Toronto - St. George Campus,Robert Brym,AMAZING PROF!!!,4.5,3.0,0,1,1,2,0.5
University of Toronto - St. George Campus,Robert Brym,"His classes were pretty boring and repetitive. He taught every other lecture and another professor would teach the other lectures. The other professor was better. Pretty tough tests, as all Sociology tests are. They are always worded confusingly. Read the textbook weekly and you'll get a B or B+",3.0,4.0,0,1,6,49,0.12244897959183673
University of Toronto - St. George Campus,Robert Brym,He's knowledgable about the topic but can be very rude when answering questions. The data he uses are all outdated and the tests are brutal since it asks about the tiny statistical details. Not approachable at all,1.5,4.0,0,2,0,37,0.0
University of Toronto - St. George Campus,Robert Brym,"Professor Brym made me want to specialize in Sociology. I loved his lectures. I loved talking to him in person. He is great. The people in my class who didn't like him were slackers looking for an easy mark. If you want to actually learn, you should take his class.",5.0,5.0,0,1,1,50,0.02
University of Toronto - St. George Campus,Robert Brym,very organized and an overall good professor,4.5,3.0,0,0,0,7,0.0
University of Toronto - St. George Campus,Robert Brym,Don't recommend. Tests are tough. Brym is boring. First lecture was on suicide! Adam Green was fine though. Very weird class.,1.0,4.0,0,1,3,21,0.14285714285714285
University of Toronto at Mississauga,Dax Urbszat,really makes the lecture entertaining and enjoyable. has a wide range of knowledge and ability to add on besides course material and makes the lectures very engaging. makes me want to change program in order to take his class.,5.0,3.0,0,2,1,39,0.02564102564102564
University of Toronto at Mississauga,Dax Urbszat,"Don't take this course if you aren't majoring in psych (or related). Lectures are interesting, but the course is not worth it. Lots of textbook readings. Sure, the success package will make it easier, but the course is time-consuming and a waste of time.",4.0,4.0,0,2,0,44,0.0
University of Toronto at Mississauga,Dax Urbszat,Dax is the reason I continued with psychology. Hes great at keeping the class engaged and tells great stories that really help you understand/remember the content of the lectures. My favourite prof at UTM!,5.0,3.0,0,2,0,34,0.0
University of Toronto at Mississauga,Dax Urbszat,"Looking back, Dr. Dax inspired me through his genuineness and passion for the field of Psychology.",5.0,3.0,0,0,0,16,0.0
University of Toronto at Mississauga,Dax Urbszat,amazing prof. his slides are short and to the point and he tells interesting stories. he gives additional information during lecture so you should show up to the lectures.,5.0,3.0,0,1,2,29,0.06896551724137931
University of Toronto at Mississauga,Dax Urbszat,"Dax is very intimidating and will make you feel bad about your life choices in lecture. Although, his lectures are engaging, with many stories and jokes. Tests are a breeze if you have the success package, as he reuses questions from previous years over and over, you don't even have to attend lectures of read if you have it. Good prof overall",4.0,3.0,0,2,0,62,0.0
University of Toronto at Mississauga,Dax Urbszat,"a true legend, his texts are based on lecs and the textbook and are fair, and his analogies and stories really help you understand and remember concepts. hope to have him again soon!",5.0,4.0,0,1,0,33,0.0
University of Toronto at Mississauga,Dax Urbszat,"Dax is definitely one of the best profs out there, anyone would be lucky to have him. His lectures are awesome cause they're rarely boring and he shares really interesting stories. For the most part, the content's pretty intriguing, but get ready to do the (lengthy) chapter readings as the class is test heavy. Overall, super awesome class.",5.0,4.0,0,4,3,58,0.05172413793103448
University of Toronto at Mississauga,Dax Urbszat,He is an amazing professor !! I'm so glad that I took this course with him,5.0,4.0,0,2,1,16,0.0625
University of Toronto at Mississauga,Dax Urbszat,easiest class ever,5.0,1.0,0,0,0,3,0.0
University of Toronto at Mississauga,Dax Urbszat,"Dax is a great prof who genuinely cares about students' success. Don't be intimidated to talk to him after class/during breaks, because he is very open to questions. Even with the success package, I'd still advise doing readings and studying lectures to get the most out of the course and enjoy lectures. As Dax says, you are only cheating yourself!",5.0,3.0,0,2,0,60,0.0
University of Toronto at Mississauga,Dax Urbszat,His lectures are pretty long and tend to get boring sometimes but he tries to make them as interesting as possible. If you study you will do well in the class. Reading heavy though.,4.0,4.0,0,2,4,34,0.11764705882352941
University of Toronto at Mississauga,Dax Urbszat,"Honestly, I didn't go to class at all and just memorized the success package and read the textbook, and I 4.0'd the course. Dax is alright, albeit a bit condescending and conceited. The short answers on the tests are taken directly from the success package. MC is a bit harder - you actually have to read the textbook for that.",3.0,4.0,0,0,0,60,0.0
University of Toronto at Mississauga,Dax Urbszat,"get your hands on the success pkg with past questions and you're SET. Lectures are a good way to understand the general concepts within the textbook but there will be questions on the weird bits of the book that nobody ever reads (super textbook heavy). Funny guy in class and i would take another class, but he's intimidating for me to approach",4.0,3.0,0,3,2,62,0.03225806451612903
University of Toronto at Mississauga,Dax Urbszat,Really awesome and engaging lectures. Use the free success package for the short answers and you'll do good. Multiple choice portion is all textbook which means you have to know every detail from the chapter so make sure to read.,4.0,3.0,0,2,1,40,0.025
University of Toronto at Mississauga,Dax Urbszat,"This was easily my favourite course and prof in my first year at UTM. Very knowledgeable and passionate about course material and makes 2 hour lectures go by so fast. Pay attention in lectures, read the textbook VERY thoroughly, and download the success package (free online) and tests will be pretty easy! This is a course I recommend EVERYONE takes",5.0,2.0,0,0,2,60,0.03333333333333333
University of Toronto at Mississauga,Dax Urbszat,"Not bad. He does give great lectures, however, the tests recall the most specific information from the textbook. He's all about the importance of teaching methods that correlate with actually learning the information, but the multiple choice tests really are just memorization, so that's that. Lecture tests are easy if you get the success package.",3.0,4.0,0,4,1,55,0.01818181818181818
University of Toronto at Mississauga,Dax Urbszat,"He's remarkable guy. He clearly cares about his craft, and he doesn't sugar coat anything. Take this course if you're looking to push yourself with the best kind of encouragement. Also the course material is really interesting.",5.0,4.0,0,0,1,37,0.02702702702702703
University of Toronto at Mississauga,Dax Urbszat,rambles on but has interesting lectures. Read the textbook and you're pretty much set,5.0,2.0,0,0,2,14,0.14285714285714285
University of Toronto at Mississauga,Dax Urbszat,"Very funny professor so 2 hours lectures were actually engaging and fun. If you look up the PSY100 Mega Success Package on FB you will get a bunch of past MC and SA  easy 4.0. I recommend still attending lectures and reading (+taking notes from textbook) for a meaningful understanding of the course. Like always, put in effort  great results!",4.0,3.0,0,4,2,60,0.03333333333333333
University of Toronto - St. George Campus,Scott Browning,"His tests are hard and very application based, but he tends to follow the same format every year. Tip: do the multiple choice last when writing tests. Prepare for quizzes, on which you generally get either 100% or 0%. He likes to talk though and will gladly meet with you to work through problems- it may not seem like it but he wants you to do well.",3.0,5.0,0,2,1,67,0.014925373134328358
University of Toronto - St. George Campus,Scott Browning,"If you expect the final exam to be the material he taught in class, think again. Most questions were application, so if you don't get it, there is absolutely no way you can memorize your way out. Unless you think, breathe, and eat chemistry, I'm not sure there's a way to get a good grade with Browning.",1.0,5.0,0,2,0,57,0.0
University of Toronto - St. George Campus,Scott Browning,"His questions on tests tend to be really word-heavy, especially on the first midterm. Be prepared to read, because some of them can be very tricky to understand the first time you see it.",2.0,3.0,0,0,2,34,0.058823529411764705
University of Toronto - St. George Campus,Scott Browning,I look forward to his lectures and I can't wait to have him again next semester for CHM135. Makes chemistry interesting and does an amazing job of explaining concepts. Really caring and funny too and you can tell he wants the class to succeed. His tests are harder but it's definitely possible to do well.,5.0,4.0,0,2,2,55,0.03636363636363636
University of Toronto - St. George Campus,Scott Browning,"Professor Browning is hands down one of my favourite lecturers. Although his tests might not be the easiest, but if you are a high achiever, you will definitely do fine and (even well) if you study hard. He makes chemistry fun and a lot less depressing than it seems. I enjoy lectures with him a lot and tend not to fall asleep.",5.0,4.0,0,5,1,62,0.016129032258064516
University of Toronto - St. George Campus,Scott Browning,"I love this man. Browning is one of the sweetest and nicest profs and i loved going to chem lectures. If you study well enough and attend his lectures, his tests aren't that hard. I would start a browning fanclub if i could. Main thing is to just study well",5.0,3.0,0,1,0,50,0.0
University of Toronto - St. George Campus,Scott Browning,"Man were his tests hard. Also, his slides were not informative and you definitely need to attend class if you're going to decipher them. That being said, he is super clear about what is going to be on the test and tested everything fairly evenly. He usually answers questions but on occasion would go ""I'd like you to think on that"" X(",3.0,5.0,0,2,0,62,0.0
University of Toronto - St. George Campus,Scott Browning,"For his multiple choice, he literally takes the biggest molecule on a random research paper and you answer a bunch of questions about that molecule. His reaction questions: He thinks of a compound, does a reaction on it. Then throws it in a blender. Then you find the original compound. What a great man. 10/10 effort. UNMATCHED EXCELLENCE!",5.0,2.0,0,2,1,58,0.017241379310344827
University of Toronto - St. George Campus,Scott Browning,"Best Prof I've ever had. He absolutely does not make your life miserable, he also does not crush your dreams Would absolutely recommend, if I had the chance I would take each and every class with him. His test are not hard at all and absolutely representative of his lectures his questions absolutely wont make you cry at night. God bless this man.",5.0,1.0,0,4,1,63,0.015873015873015872
University of Toronto - St. George Campus,Scott Browning,"Its day 4 of class and honestly hes pretty chill, i havent really done any homework, but apparently we had some. Hope this helps all the other people out there, I will go back to not doing my chm136 homework. Peace out world!",4.0,3.0,0,1,2,43,0.046511627906976744
University of Toronto - St. George Campus,Scott Browning,"I heard he's a really kind and funny prof, but in terms of his lecturing, it's horrible. I hated every second of it. The way he talked about certain things were so.... bland. His lecture slides are made to attend class. He doesn't put instructions on how to do certain mechanisms but just use the textbook and you'll do great.",1.0,4.0,0,3,0,60,0.0
University of Toronto - St. George Campus,Scott Browning,"A great lecturer, probably one of my favourites from my first year, but he does not hold back on his tests. Master everything in lecture, and know how to do it FAST. The time constraint on his test is probably what makes it so difficult.",3.0,5.0,0,2,1,45,0.022222222222222223
University of Toronto - St. George Campus,Scott Browning,"such a hard course but his lectures were teaching simple and basic stuff. I reviewed all of material before the final exam and did all of the past exams and go to 95% of the lectures. Ends up getting 78 on the finals, so if everyone thinks this final exam is fair, then all I could say is that I am such a dumb kid :(((( destroy my specialist dream",1.0,5.0,0,2,3,70,0.04285714285714286
University of Toronto - St. George Campus,Scott Browning,"While he may be a good lecturer, I found that his tests were way harder then what was covered in lecture. My CHM136 tests done by browning were by far the hardest.",1.0,4.0,0,0,0,32,0.0
University of Toronto - St. George Campus,Scott Browning,"Prob Browning is hands-down one of the best lecturers I have ever met. He made chem seem fun and his style of teaching was awesome. The level of difficulty for his exams was very challenging tho so do all the practice questions. I; however, never want to see a hexagon again after org chem...",5.0,4.0,0,1,0,54,0.0
University of Toronto - St. George Campus,Scott Browning,"really fun guy, explains concepts extremely clearly and even tells us what kind of mistakes students usually make. he's very nice and approachable so definitely chat with him. a strict instructor though; when I goto office hours I see he expects a lot from students. tests are hard but very reasonable, so once you adapt, you ace them.",5.0,4.0,0,2,2,58,0.034482758620689655
University of Toronto - St. George Campus,Scott Browning,"Great professor, he explains things exceptionally well, and is very passionate about his lectures which makes you feel that vibe as well. As for his tests you must do the homework,and ask someone for help for anything you are unsure of. Also if you are someone who is lazy and procrastinates, you will not do well! So work for it! Good luck",4.0,4.0,0,2,1,62,0.016129032258064516
University of Toronto - St. George Campus,Scott Browning,"If he curved up his ridiculously low average tests, he'd be the greatest prof ever.",5.0,4.0,0,1,1,15,0.06666666666666667
University of Toronto - St. George Campus,Scott Browning,"He is a great, knowledgeable professor. His tests are harder, but as long as you do all the problems in the textbook you will be fine. Trust me, I just finished my first chem midterm and he made the test. You don't have to go to lectures, just make sure you go through the textbook and understand every single thing covered.",5.0,4.0,0,2,3,61,0.04918032786885246
University of Toronto - St. George Campus,Scott Browning,"He is a great professor and his lectures are very informative. However, his tests are unreasonably difficult. The term test was one of the hardest tests I wrote out of all my courses in Life Sci.",3.0,5.0,0,1,0,36,0.0
University of Toronto - St. George Campus,Dan Dolderman,"Prof. D. is a true legend at UofT. This isn't your normal lecture, when he teaches and you pay attention, his content will change the way you think about the world. I would recommend everybody to merely audit any one of his courses, you will be fascinated!",5.0,3.0,0,1,1,47,0.02127659574468085
University of Toronto - St. George Campus,Dan Dolderman,"One of those rare, inspirational professors. Makes an effort to get to know you and uses stories to make material more engaging. Although he asks test questions in an unconventional manner, they're easy if you follow his study advice. No slides, so coming to class is important (and fun!) Group project was mediocre, but what group project isn't?",5.0,3.0,0,2,3,58,0.05172413793103448
University of Toronto - St. George Campus,Dan Dolderman,"Dolderman will make you leave every lecture feeling like your life has changed. However, his organizational skills don't exist. It is almost March and we haven't got feedback from our December paper. Doesn't attend his own office hours. Doesn;'t provide a rubric for papers, but then marks using one. 0 Lecture slides/notes - just talking < 3",3.0,4.0,0,0,0,57,0.0
University of Toronto - St. George Campus,Dan Dolderman,Professor Dolderman is the greatest professor I've had in my 4 years at UofT. His environmental psychology class is beyond inspirational and incorporates many of the psychological concepts we've covered in the pursuit of our (psych) degrees. The workload is standard for a 4th year course. This class will change the your life.,5.0,3.0,0,1,0,53,0.0
University of Toronto - St. George Campus,Dan Dolderman,Definitely the best professor I've ever had. Also definitely the most unorganized professor I've ever had. We've had a couple assignments that had close to zero instructions. But I still stand behind my words; he is a great lecturer and he keeps you engaged. And he is funny. Really funny.,5.0,4.0,0,2,0,50,0.0
University of Toronto - St. George Campus,Dan Dolderman,"He's an incredibly interesting lecturer, however, his overall style is disorganized. He gives very limited explanations for assignments and often fails to properly organize test review sessions and tutorials. His tests were also unnecessarily difficult",3.0,4.0,0,1,2,35,0.05714285714285714
University of Toronto - St. George Campus,Dan Dolderman,Dolderman was inspirational; he's easily the best prof I've ever had,5.0,4.0,0,0,0,11,0.0
University of Toronto - St. George Campus,Dan Dolderman,totally unorganized,1.0,4.0,0,0,0,2,0.0
University of Toronto - St. George Campus,Dan Dolderman,Too many readings assignment and the material was very difficult. Rarely goes over readings in class,1.0,5.0,0,0,0,16,0.0
University of Toronto - St. George Campus,Dan Dolderman,Has gotten really disorganized and very unclear about grading. Also very confusing lectures,1.0,4.0,0,0,0,13,0.0
University of Toronto - St. George Campus,Dan Dolderman,"One of my favourite profs in first year. Hilarious, witty, and above all, extremely clear in his elaboration of the material. In terms of exams, READ the textbook and REVIEW the lectures as there will be questions from both on the exam. Less memorisation, more critical thinking and how to apply your knowledge to a real problem. Amazing prof.",4.0,3.0,0,3,4,59,0.06779661016949153
University of Toronto - St. George Campus,Dan Dolderman,"Took psy100 and psy230 with him. Such an inspirational prof, sad when the semester was over. One of the best classes I've ever taken, lectures were intriguing and kept your attention, relatable. Sometimes the mc questions can be tricky but he's very helpful in going over material and helping prepare. Defs take more classes with him. Phenomenal.",5.0,4.0,0,0,2,57,0.03508771929824561
University of Toronto - St. George Campus,Dan Dolderman,"Great prof, funny & entertaining but kinda disorganized (not sure if it's him or just the psych department in general). Both lectures and readings are VITAL, don't get stuck with 13 chapters to read 2 days before the final. For midterms/exams: go beyond memorizing & make sure you know how to APPLY the knowledge. His questions are hilarious btw.",4.0,4.0,0,4,0,59,0.0
University of Toronto - St. George Campus,Dan Dolderman,Dr. Dolerman is one of my favourite professors so far.  He makes his class really fun and interesting and tries to make it engaging.  His midterms are 50/50 from lecture and the readings.,5.0,3.0,0,1,1,33,0.030303030303030304
University of Toronto - St. George Campus,Dan Dolderman,"Not a bird course! don't take it to boost your gpa and don't take this course With Dolderman if you don't like psychology! Class average was a C+ too much readings. However, lectures were entertaining.",2.0,5.0,0,1,1,35,0.02857142857142857
